"3134HADX8(Opens a new window)","08/13/2024","$15,000,000.00","5/1","4","08/13/2029","MTN","Bermudan","USD","WELLS FARGO SECURITIES LLC"
"3134HADV2(Opens a new window)","08/13/2024","$5,000,000.00","3/.5","4","08/13/2027","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HADV2(Opens a new window)","08/13/2024","$5,000,000.00","3/.5","4","08/13/2027","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HACY7(Opens a new window)","08/13/2024","$10,000,000.00","5/2","4","08/13/2029","MTN","Bermudan","USD","INSPEREX"
"3134HADG5(Opens a new window)","08/14/2024","$10,000,000.00","5/.5","4.3","08/14/2029","MTN","Bermudan","USD","INSPEREX"
"3134HADL4(Opens a new window)","08/14/2024","$5,000,000.00","5/.5","4","08/14/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HADL4(Opens a new window)","08/14/2024","$5,000,000.00","5/.5","4","08/14/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HADL4(Opens a new window)","08/14/2024","$5,000,000.00","5/.5","4","08/14/2029","MTN","Bermudan","USD","MULTI-BANK SECURITIES"
"3134HADP5(Opens a new window)","08/14/2024","$10,000,000.00","5/.5","4.25","08/14/2029","MTN","Bermudan","USD","UBS SECURITIES LLC"
"3134HADY6(Opens a new window)","08/14/2024","$10,000,000.00","5/.5","4","08/14/2029","MTN","Bermudan","USD","RAYMOND JAMES STIFEL, NICOLAUS, & CO. INC"
"3134HADY6(Opens a new window)","08/14/2024","$20,000,000.00","5/.5","4","08/14/2029","MTN","Bermudan","USD","RAYMOND JAMES STIFEL, NICOLAUS, & CO. INC"
"3134HADZ3(Opens a new window)","08/14/2024","$15,000,000.00","4/.5","4","08/14/2028","MTN","Bermudan","USD","PIPER SANDLER & CO. RAYMOND JAMES STIFEL, NICOLAUS, & CO. INC"
"3134HAEB5(Opens a new window)","08/14/2024","$5,000,000.00","5/.5","4","08/14/2029","MTN","Bermudan","USD","SIEBERT WILLIAMS SHANK & CO, LLC"
"3134HAED1(Opens a new window)","08/14/2024","$10,000,000.00","5/1","4","08/14/2029","MTN","Bermudan","USD","BOK FINANCIAL SECURITIES, INC. SOUTHSTATE|DUNCANWILLIAMS SECURITIE"
"3134HAEH2(Opens a new window)","08/14/2024","$10,000,000.00","4/.25","5","08/14/2028","MTN","Bermudan","USD","SOUTHSTATE|DUNCANWILLIAMS SECURITIE"
"3134HAEJ8(Opens a new window)","08/14/2024","$30,000,000.00","3/.5","4","08/12/2027","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAEQ2(Opens a new window)","08/14/2024","$12,000,000.00","3/.25","4","08/12/2027","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
"3134HAEZ2(Opens a new window)","08/14/2024","$15,000,000.00","4/.5","4.25","08/14/2028","MTN","Bermudan","USD","FIRST HORIZON BANK"
"3134HAFB4(Opens a new window)","08/14/2024","$10,000,000.00","5/.5","4.2","08/14/2029","MTN","Bermudan","USD","RAYMOND JAMES STIFEL, NICOLAUS, & CO. INC"
"3134HAFG3(Opens a new window)","08/14/2024","$100,000,000.00","3/.5","5","08/10/2027","MTN","Bermudan","USD","MORGAN STANLEY & CO. LLC"
"3134HAFJ7(Opens a new window)","08/14/2024","$500,000,000.00","5/.75","5.005","08/14/2029","MTN","Bermudan","USD","RBC CAPITAL MARKETS, LLC"
"3134HAFQ1(Opens a new window)","08/15/2024","$15,000,000.00","4/1","4","08/15/2028","MTN","Bermudan","USD","FIRST HORIZON BANK"
"3134HAFN8(Opens a new window)","08/15/2024","$300,000,000.00","3/.5","5","08/13/2027","GLOBAL MTN","Bermudan","USD","WELLS FARGO SECURITIES LLC"
"3134HAFH1(Opens a new window)","08/15/2024","$15,000,000.00","5/.25","4.5","08/15/2029","MTN","Bermudan","USD","BREAN CAPITAL, LLC"
"3134HAFF5(Opens a new window)","08/15/2024","$20,000,000.00","2/.5","4","08/14/2026","MTN","Bermudan","USD","LOOP CAPITAL MARKETS LLC"
